城区,小区名称,城区均价,小区参考价,档次标签,建成年份,加价系数,备注
青秀,荣和大地,16189,20286,高端,2008,1.15,
青秀,保利21世家,16189,15414,高端,2010,1.15,
青秀,华润幸福里,16189,15990,高端,2021,1.15,
青秀,盛天茗城,16189,14766,高端,2010,1.15,
青秀,莱茵湖畔,16189,14673,高端,2003,1.15,
青秀,万达公馆,16189,20695,高端,2022,1.15,
青秀,龙光君御华府,16189,16493,高端,2017,1.15,
青秀,凤岭春天,16189,16517,高端,2008,1.15,
青秀,万正鸣翠谷,16189,18183,高端,2005,1.15,
青秀,中房翡翠园,16189,16199,高端,2011,1.15,
青秀,塞纳维拉花园,16189,19232,高端,2012,1.15,
青秀,蓝山上城,16189,16121,高端,2023,1.15,
青秀,山水方园,16189,17034,高端,2006,1.15,
青秀,香格里拉花园,16189,15298,高端,2016,1.15,
青秀,维也纳森林,16189,16372,高端,2003,1.15,
良庆,天誉花园,12189,15336,中高端,2011,1.1,
良庆,恒大绿洲,12189,14901,中高端,2009,1.1,
良庆,龙光玖珑湖,12189,11018,中高端,2013,1.1,
良庆,万科魅力之城,12189,13378,中高端,2022,1.1,
良庆,绿地国际花都,12189,10385,中高端,2013,1.1,
良庆,合景天汇广场,12189,12425,中高端,2022,1.1,
良庆,阳光新城,12189,14895,中高端,2023,1.1,
良庆,港保苑,12189,15623,中高端,2015,1.1,
良庆,碧水天和,12189,10872,中高端,2012,1.1,
良庆,南宁恒大名都,12189,15466,中高端,2023,1.1,
良庆,融创九棠府,12189,10424,中高端,2010,1.1,
良庆,华润二十四城,12189,15789,中高端,2022,1.1,
江南,龙光普罗旺斯,10404,12898,中端,2006,1.0,
江南,盛天领域,10404,9430,中端,2016,1.0,
江南,绿港阳光城,10404,13287,中端,2018,1.0,
江南,融晟公园大地,10404,12180,中端,2017,1.0,
江南,汇东星城,10404,10456,中端,2009,1.0,
江南,金湾花城,10404,11148,中端,2003,1.0,
江南,风格雨林,10404,11109,中端,2003,1.0,
江南,保利城,10404,11772,中端,2023,1.0,
江南,南宁奥园,10404,11009,中端,2009,1.0,
江南,昌泰鑫金绿洲,10404,10840,中端,2016,1.0,
西乡塘,大嘉汇尚悦,9952,12075,中端,2006,1.0,
西乡塘,骋望麓涛,9952,12097,中端,2023,1.0,
西乡塘,人和莱茵鹭湖,9952,11679,中端,2020,1.0,
西乡塘,龙光水悦龙湾,9952,9723,中端,2004,1.0,
西乡塘,正恒国际广场,9952,9473,中端,2010,1.0,
西乡塘,瀚林华府,9952,9033,中端,2017,1.0,
西乡塘,荣和摩客社区,9952,10191,中端,2009,1.0,
西乡塘,联发西棠,9952,11059,中端,2004,1.0,
西乡塘,大唐天城,9952,11850,中端,2010,1.0,
西乡塘,昌泰清华园,9952,8875,中端,2024,1.0,
兴宁,奥园园著,9572,12017,中端,2023,1.0,
兴宁,瀚林山水源,9572,9341,中端,2005,1.0,
兴宁,盛天东郡,9572,11655,中端,2009,1.0,
兴宁,保利山渐青,9572,12399,中端,2023,1.0,
兴宁,江宇世纪城,9572,9152,中端,2021,1.0,
兴宁,龙基传媒星城,9572,8812,中端,2021,1.0,
兴宁,金源城,9572,9403,中端,2006,1.0,
兴宁,中海国际社区,9572,12165,中端,2008,1.0,
兴宁,恒大华府,9572,8574,中端,2015,1.0,
兴宁,联发尚筑,9572,10377,中端,2023,1.0,
邕宁,阳光城丽景湾,6500,5809,中低端,2010,1.1,
邕宁,中铁交通天地明珠,6500,7565,中低端,2023,1.1,
邕宁,世茂茂御府,6500,8434,中低端,2024,1.1,
邕宁,龙光玖珑湾,6500,5784,中低端,2012,1.1,
邕宁,南宁宝能城市广场,6500,6116,中低端,2021,1.1,
邕宁,合景天峻广场,6500,5597,中低端,2019,1.1,
邕宁,万丰新新传说,6500,6827,中低端,2003,1.1,
邕宁,大唐盛世,6500,5631,中低端,2014,1.1,
武鸣,麒麟御府,5500,5552,低端,2016,1.25,
武鸣,红岭小区,5500,6398,低端,2007,1.25,
武鸣,恒泰丽园,5500,5591,低端,2023,1.25,
武鸣,标营新区,5500,6248,低端,2011,1.25,
武鸣,万隆国际,5500,7066,低端,2016,1.25,
武鸣,金茂新城,5500,5127,低端,2015,1.25,
武鸣,武鸣碧桂园,5500,6335,低端,2010,1.25,
武鸣,九个半岛,5500,5360,低端,2024,1.25,
