category,subcategory,value,unit,note
师傅到手时薪,新手,20,元/小时,师傅税后到手时薪
师傅到手时薪,熟练,28,元/小时,师傅税后到手时薪
师傅到手时薪,金牌,38,元/小时,师傅税后到手时薪
社保系数,通用,1.2,,雇主社保缴纳系数（养老医疗失业工伤生育保险）
耗材费率,日常保洁,5,元/次,常规清洁剂+垃圾袋
耗材费率,深度清洁,12,元/次,专业除垢剂+消毒液+工具损耗
耗材费率,开荒保洁,3,元/㎡,高强度清洁剂+保护材料
耗材费率,家电清洗,15,元/台,专用清洗剂+防护材料
交通加价,青秀,5,元/次,市中心区域
交通加价,良庆,8,元/次,五象新区
交通加价,江南,10,元/次,江南区
交通加价,西乡塘,8,元/次,西乡塘区
交通加价,兴宁,12,元/次,兴宁区
交通加价,邕宁,18,元/次,邕宁区（较远）
交通加价,武鸣,25,元/次,武鸣区（远郊）
管理费率,通用,0.06,,按订单金额的6%计提管理成本
风险裕量,通用,0.1,,按直接成本（人力+耗材+交通）的10%计提工时偏差补偿
时间段加价,工作日,1,,基准价格，无加价
时间段加价,周末,1.1,,周末需求上升，人力成本+10%
时间段加价,节假日,1.2,,法定节假日，人力成本+20%
时间段加价,旺季,1.3,,超级旺季（春节/三月三/回南天），人力成本+30%
目标毛利率,最低,0.25,,保本价加成至目标售价，下限25%
目标毛利率,最高,0.35,,保本价加成至目标售价，上限35%
家电清洗台数折算,通用,1.5,小时/台,从服务时长估算家电台数
开荒保洁生产率,新手,18,㎡/小时,新手每小时清洁面积
开荒保洁生产率,熟练,15,㎡/小时,熟练工每小时清洁面积
开荒保洁生产率,金牌,12,㎡/小时,金牌工每小时清洁面积（更细致）
